index,TMDBid,desc,img,imgSmall,title,title,trailer,allGenres,duration
0,476968,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",/euAMcJLG26pW1kv4kPEtVEwwroQ.jpg,/2NUXG94dGMKYgJL1BkJGKynMb3l.jpg,"Paul, Apostle of Christ","Paul, Apostle of Christ",False,,108
1,378108,"Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm…",/mNOB5JoW1imvdGrZ52RGZgJCop0.jpg,/9Z4H4M2F8OQTB04YC1Opds8MFBb.jpg,この世界の片隅に,In This Corner of the World,False,,130
2,652,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",/qZitv5zrSXfJafGThxmvbvTsuu5.jpg,/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg,Troy,Troy,False,,163
3,502581,"Authorized biopic of Brazilian evangelical bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network. Based on a book trilogy of the same name, the movie tells the story of the self-made man who faced several moments of turbulence while pursuing his conviction.",/x53rt95zFbCjfFidDsH6kukMiWz.jpg,/1Qk9eD3ZqmJ7V8bB28H7gUd1FPg.jpg,Nada a Perder,Nothing to Lose,False,,130
4,7214,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",/n4CvA50GBtIPrSqCl8nMNZCliYI.jpg,/y3HOTTyM5nLsdUzXFtFCohG28qj.jpg,Coach Carter,Coach Carter,False,,136
5,407439,"In the first century, free-spirited Mary Magdalene flees the marriage her family has arranged for her, finding refuge and a sense of purpose in a radical new movement led by the charismatic, rabble-rousing preacher named Jesus.",/hvdRLJSKy2a3Ulzrl1Wlnqq2pKZ.jpg,/7IBGsaUXMol2K8I1BTBgxEBuS6y.jpg,Mary Magdalene,Mary Magdalene,False,,120
6,857,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",/3E5pvJLNEz5WmYWl6GfFW8hEVV3.jpg,/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg,Saving Private Ryan,Saving Private Ryan,False,,169
7,277216,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",/wKmG0Fuasb9HUD3jgwQamGb5sAq.jpg,/1CiLJx8Xtv3TbbFj6k7BboSmKgC.jpg,Straight Outta Compton,Straight Outta Compton,False,,147
8,14574,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",/fcDdXbrg2N4j9t9DOptpxcWuIXL.jpg,/2C8QCXdMlojTxZjfBlINr4FWcb6.jpg,The Boy in the Striped Pyjamas,The Boy in the Striped Pyjamas,False,,94
9,6844,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",/rKiNFQYpe0qPbVKkBWbUJAVtNl.jpg,/3Ei59AR64x6dMZfWobPCkZjbqTL.jpg,The Ten Commandments,The Ten Commandments,False,,220
10,300168,"Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds.",/rnNkUJlo03a8D0utxiOrADstaMT.jpg,/suTAWYLIHAnkH2V4nC8t3AG7HjR.jpg,天將雄師,Dragon Blade,False,,127
11,359724,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",/ydmZIafp66mHABs3QJDwvjRgZfE.jpg,/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg,Ford v Ferrari,Ford v Ferrari,False,,153
12,300671,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,/4qnEeVPM8Yn5dIVC4k4yyjrUXeR.jpg,13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,False,,144
13,424694,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",/93xA62uLd5CwMOAs37eQ7vPc1iV.jpg,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,Bohemian Rhapsody,Bohemian Rhapsody,False,,135
14,1579,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",/s8yphXScZsnvTFbSFE8rIG334vK.jpg,/cBFQsU1LDBEOl0Ik0cygeB6wCLE.jpg,Apocalypto,Apocalypto,False,,139
15,20662,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",/h7AKqgIh86HDgJIzENeR2ng1Knn.jpg,/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,Robin Hood,Robin Hood,False,,140
16,54989,"Man remembers 48 crucial hours in his life when, as a child, he visited his mother, the favorite woman of an important politician, in a bordello owned by him, right before some important political changes in 1937 Brazil. In those hours, he discovers his own sexuality.",/y2TwGM0sR6SwVa1RaehLB5TxZr0.jpg,/qXwsEYqB2nFIEaCwhYkPbfv9nZ9.jpg,"Amor, Estranho Amor","Love, Strange Love",False,,123
17,28005,"Tara and Maya are two inseparable friends in India. Their tastes, habits, and hobbies are the same. Years later, the two have matured, but have maintained their friendship. Tara gets married to the local prince, Raj Singh, who soon succeeds the throne as the sole heir. After the marriage, Raj gets bored of Tara and starts seeking another female to satisfy his sexual needs. He notices Maya and is instantly attracted to her. He has her included as one of his courtesans, and is intimate with her. Watch what happens when Tara finds out and the extent she will go to keep her marriage intact.",/gftDU03xnFig2yrNYrNFPCBMQZC.jpg,/dwbLcEPIjVISly6DW8GLX8vsZlE.jpg,Kama Sutra: A Tale of Love,Kama Sutra: A Tale of Love,False,,117
18,324786,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,/fTuxNlgEm04PPFkr1xfK94Jn8BW.jpg,Hacksaw Ridge,Hacksaw Ridge,False,,139
19,381284,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",/rfkIeCaIHhN3K5wjJJqKmfUjYp8.jpg,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,Hidden Figures,Hidden Figures,False,,127
20,371370,"This movie is very different from the previous TV specials (Dragon Ball Z: Bardock - The Father of Goku and Dragon Ball Z: The History of Trunks), as it is a look back at what had happened in Dragon Ball Z in 1993.  In this film, which is believed to take place some time around the 25th World Martial Arts Tournament, Gohan and Goten are having a hot bath outside in the middle of winter. Goku (who is still dead) suddenly appears in front of his sons with the help of his Instant Transmission, and joins them in the tub. While there, the three Saiyans reflect back on the events that occurred during the Cell Games. Inside the house after Chi-Chi appeared, Goku tells his sons about Pikkon and the Other World Tournament.  Later, the four members of the Son family appear dressed nicely. Gohan says that the adult division of the Tournament will begin this next year (in 1994), and the special comes to an end.",,/sOtvIOc65gmDdrAk3Eg01oH4gZY.jpg,Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!,Looking Back at it All: The Dragon Ball Z Year-End Show!,False,,5
21,57214,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",/5vAv4h4vugleYsbsNkUb9kcrk8h.jpg,/lUPDGT3lyRrq8SvWuNWG2DP64bR.jpg,Project X,Project X,False,,88
22,809,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",/g1EsYgp8GbdztpodCCa2n7xxc5S.jpg,/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg,Shrek 2,Shrek 2,False,,93
23,384018,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",/hpgda6P9GutvdkDX5MUJ92QG9aj.jpg,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,False,,137
