,Id
0,15810
1,15811
2,15774
3,1120694
4,5524
5,12079
6,12080
7,5713
8,70238
9,227439
10,7087
11,84496
12,7879
13,12058
14,10723
15,21693
16,65429
17,80672
18,210053
19,12890
20,15812
21,18898
22,57646
23,1032506
24,510
25,8
26,17825
27,19850
28,1137903
29,82724
30,2710
31,19769
32,78108
33,100234
34,1096867
35,1150500
36,1150501
37,1293994
38,74091
39,27571
40,55789
41,1702466
42,1032
43,2461
44,68662
45,583003
46,1141683
47,893
48,1284691
49,89972
50,81853
51,1483924
52,1307036
53,2320943
54,1083453
55,122186
56,1083452
57,1113116
58,11343
59,55934
60,87742
61,11181
62,20307
63,20308
64,10965
65,1704
66,17633
67,55499
68,11218
69,19271
70,19272
71,12891
72,40256
73,51894
74,930707
75,37932
76,525
77,6482
78,1776
79,75035
80,880
81,40644
82,35689
83,76864
84,638
85,20192
86,20193
87,4723
88,57130
89,1331465
90,239858
91,5231
92,1548846
93,52038
94,1173102
95,488
96,55299
97,8636
98,57832
99,366
100,865
101,9032
102,578
103,570953
104,6495
105,939147
106,12962
107,15175
108,1401474
109,84335
110,116065
111,118639
112,126882
113,23430
114,94220
115,94222
116,558929
117,1047497
118,1140975
119,2127
120,12995
121,1040707
122,116357
123,1108
124,957
125,18596
126,1299380
127,40684
128,1281402
129,52139
130,55252
131,1046759
132,936584
133,78667
134,1806180
135,1042212
136,116804
137,1036815
138,1036816
139,236031
140,2042738
141,56578
142,57865
143,1415967
144,79656
145,143296
146,1997986
147,66190
148,66191
149,17698
150,76927
151,1209832
152,1335223
153,2944693
154,1216147
155,66739
156,608
157,36602
158,1586194
159,1215
