index,id,Director,Actor
0,476968,1331465,"[8767, 9140, 15533, 12656, 28743]"
1,378108,239858,"[1405924, 1241498, 550606, 1164931, 1874660]"
2,652,5231,"[287, 114, 8783, 1248, 48]"
3,502581,1548846,"[559725, 1245778, 55828, 1176187, 2013360]"
4,7214,52038,"[2231, 10689, 52037, 53184, 74307]"
5,407439,1173102,"[108916, 73421, 5294, 235125, 1213279]"
6,857,488,"[31, 3197, 12833, 1892, 12834]"
7,277216,37932,"[1371398, 1154054, 1115984, 55091, 83860]"
8,14574,55299,"[77996, 224188, 21657, 11207, 36669]"
9,6844,8636,"[10017, 14528, 10606, 13566, 41240]"
10,300168,57832,"[18897, 3036, 3490, 138010, 17991]"
11,359724,366,"[3894, 1892, 19498, 147056, 6164]"
12,300671,865,"[17697, 18473, 154784, 94864, 59254]"
13,424694,9032,"[17838, 1220123, 1452045, 4787, 86232]"
14,1579,2461,"[17678, 17688, 17689, 42009, 62477]"
15,20662,578,"[934, 112, 2201, 227, 2983]"
16,54989,570953,"[145275, 213255, 1443652, 213256, 228056]"
17,28005,6495,"[30430, 20275, 178622, 5471, 109621]"
18,324786,2461,"[37625, 65731, 4937, 20374, 972356]"
19,381284,1141683,"[40036, 6944, 1005852, 1269, 205]"
20,371370,,[90496]
21,57214,1299380,"[1142720, 225694, 225695, 996700, 131771]"
22,809,12080,"[12073, 776, 6941, 5823, 3131]"
23,384018,40684,"[18918, 976, 17605, 556356, 15735]"
24,425,5713,"[15757, 5723, 5724]"
25,177572,227439,"[66580, 515510, 82093, 51990, 78324]"
26,2062,7087,"[10872, 65, 7962, 6197, 21198]"
27,532067,1281402,"[115301, 1492982, 1325034, 1254671]"
28,301528,84496,"[31, 12898, 8873, 25147, 298410]"
29,214756,52139,"[13240, 52139, 71070, 192, 207150]"
30,863,7879,"[31, 12898, 3234, 7090, 7167]"
31,808,12058,"[12073, 776, 6941, 12074, 1925]"
32,585,12890,"[1230, 7904, 884, 5563, 10]"
33,106646,1032,"[6193, 21007, 234352, 10297, 3497]"
34,293660,55252,"[10859, 54882, 1047649, 51990, 78452]"
35,347201,1483924,"[1201637, 1246233]"
36,118,510,"[85, 1281, 1282, 1283, 1284]"
37,862,7879,"[31, 12898, 7167, 12899, 12900]"
38,354912,8,"[1193391, 258, 4589, 10402, 154004]"
39,371370,,[90496]
40,39254,17825,"[6968, 234479, 19034, 79072, 53650]"
41,8966,19850,"[37917, 11288, 21029, 84214, 45827]"
42,216015,1137903,"[118545, 1254583, 49971, 222130, 59251]"
43,61979,82724,"[77122, 82700, 224874, 234619, 82455]"
44,597,2710,"[6193, 204, 1954, 8534, 3713]"
45,228150,19769,"[287, 33235, 454, 10959, 19498]"
46,348893,100234,"[78110, 1255958, 16607, 105692, 1510237]"
47,296096,1096867,"[1223786, 237455, 47627, 4391, 74056]"
48,182026,1150501,"[1164874, 81840, 142586, 877374]"
